locationId,name,continent,movie,tvSeries,comic,game,oneShot,affiliation,continent
554,Elena Cardenas' Apartment,"New York City, New York",,Daredevil,,,,,North America
555,Ellicott City,"Maryland, United States",['Captain America: The Winter Soldier'],,,,,,North America
556,Ellison Residence,"New York City, New York",,['Daredevil (No Good Deed)'],,,,,North America
557,Elmore's Bar,"New York City, New York",,['The Defenders (Mean Right Hook)'],,,,,North America
558,Empire State Building,"New York City, New York","['Spider-Man: No Way Home', 'Doctor Strange in the Multiverse of Madness']","['Agents of S.H.I.E.L.D. (New Life)', 'Agents of S.H.I.E.L.D. (Agent Carter)', 'Agents of S.H.I.E.L.D. (The Iron Ceiling)', 'Agents of S.H.I.E.L.D. (Valediction)', 'Agents of S.H.I.E.L.D. (Hawkeye)', 'Agents of S.H.I.E.L.D. (Ronin)']",,['The Incredible Hulk'],,,North America
559,Empire State University,"New York City, New York",['The Incredible Hulk'],,,['The Incredible Hulk'],['Item 47 (logo)'],,North America
560,Endotex Labs,"Gaithersburg, Maryland",,Agents of S.H.I.E.L.D.,,,,['Advanced Threat Containment Unit'],North America
561,England,United Kingdom,"['Captain America: The First Avenger', 'Thor: The Dark World', 'Avengers: Age of Ultron', 'Captain America: Civil War', 'Doctor Strange', 'Black Panther', 'Spider-Man: Far From Home', 'Eternals', 'Spider-Man: No Way Home', 'Doctor Strange in the Multiverse of Madness', 'Thor: Love and Thunder']","['Agents of S.H.I.E.L.D. (Agent Carter)', 'Agents of S.H.I.E.L.D. (Jessica Jones)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Moon Knight)']","['The Avengers: The Avengers Initiative', 'Captain America: The First Avenger Adaptation', 'Agents of S.H.I.E.L.D.: The Chase', 'Avengers: Operation HYDRA', 'Doctor Strange Prelude', 'Doctor Strange: Mystic Apprentice', 'Thor: Ragnarok Prelude', 'Avengers: Infinity War Prelude', 'Eternals: The 500 Year War']",,,,Europe
562,Englewood,"New Jersey, United States of America",['Captain America: The First Avenger'],,,,,,North America
563,Enoch's House,United States of America,,"['Agents of S.H.I.E.L.D. (Orientation Part One)', 'Agents of S.H.I.E.L.D. (Rewind)']",,,,,North America
564,Eric's Growhouse,"New Orleans, Louisiana",,"['Cloak & Dagger (Alignment Chart)', 'Cloak & Dagger (Level Up)']",,,,,North America
565,Erik Gelden's Apartment,"New York City, New York",,"['Jessica Jones (AKA I Wish)', 'Jessica Jones (AKA Hero Pants)', 'Jessica Jones (AKA Hellcat)']",,,,,North America
566,Essex Tower Hotel,Los Angeles,,"['Runaways (Merry Meet Again)', 'Runaways (Left-Hand Path)', 'Runaways (The Broken Circle)']",,,,,North America
567,Esther Falb's Residence,"New York City, New York",,['Daredevil (Reunion)'],,,,,North America
568,Estonia,Earth,['Captain America: The First Avenger'],,['Avengers: Infinity War Prelude'],,,,Europe
569,Eternity's Altar,Multiverse,['Thor: Love and Thunder'],,,,,,
570,Ethiopia,,,['Agents of S.H.I.E.L.D. (The Man Behind the Shield)'],,,,,Africa
571,Eureka,"California, United States of America",,['Runaways (Rewind)'],,,,,North America
572,Europe,Earth,"['Iron Man 2', 'Thor', 'Captain America: The First Avenger', 'The Avengers', 'Iron Man 3', 'Thor: The Dark World', 'Captain America: The Winter Soldier', 'Avengers: Age of Ultron', 'Ant-Man', 'Captain America: Civil War', 'Doctor Strange', 'Spider-Man: Homecoming', 'Thor: Ragnarok', 'Black Panther', 'Avengers: Infinity War', 'Avengers: Endgame', 'Spider-Man: Far From Home', 'Black Widow', 'Eternals', 'Spider-Man: No Way Home', 'Doctor Strange in the Multiverse of Madness', 'Thor: Love and Thunder']","['Agents of S.H.I.E.L.D. (Agent Carter)', 'Agents of S.H.I.E.L.D. (Jessica Jones)', 'Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (Runaways)', 'Agents of S.H.I.E.L.D. (Helstrom)', 'Agents of S.H.I.E.L.D. (WandaVision)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Hawkeye)', 'Agents of S.H.I.E.L.D. (Moon Knight)', 'Agents of S.H.I.E.L.D. (Ms. Marvel)']","['Nick Fury: Spies Like Us', 'Iron Man: Will Online Evils Prevail?', 'Iron Man Royal Purple Custom Comic', 'Iron Man 2: Fist of Iron', 'Captain America: First Vengeance', 'The Avengers: Iron Man Mark VII', 'The Avengers Prelude: Black Widow Strikes', 'The Avengers: The Avengers Initiative', 'Iron Man 2 Adaptation', 'Thor: The Dark World Prelude', 'Captain America: The First Avenger Adaptation', 'Agents of S.H.I.E.L.D.: The Chase', 'The Avengers Adaptation', ""Avengers: Age of Ultron Prelude - This Scepter'd Isle"", 'Ant-Man Prelude', 'Avengers: Operation HYDRA', 'Captain America: Civil War Prelude', 'Captain America: Civil War Prelude Infinite Comic', 'Captain America: Road to War', 'Doctor Strange Prelude', 'Doctor Strange Prelude - The Zealot', 'Spider-Man: Homecoming Prelude', 'Thor: Ragnarok Prelude', 'Avengers: Infinity War Prelude', 'Captain Marvel Prelude', 'Avengers: Endgame Prelude', 'Black Widow Prelude', 'Eternals: The 500 Year War']",,,,
573,Everglades,"Florida, United States of America",['The Incredible Hulk'],,['Thor: Ragnarok Prelude'],,,,North America
574,Exeter College,"London, England",['Doctor Strange'],,,,,,Europe
575,Exitar,Knowhere,"['Thor: The Dark World', 'Guardians of the Galaxy', 'Guardians of the Galaxy Vol. 2', 'Avengers: Infinity War']","[""What If...? (What If... T'Challa Became a Star-Lord?)""]","['Guardians of the Galaxy Prequel Infinite Comic', 'Guardians of the Galaxy Vol. 2 Prelude', 'Avengers: Infinity War Prelude', 'Avengers: Endgame Prelude']",,,,
576,F.E.A.S.T. Community Center,"New York City, New York",['Spider-Man: No Way Home'],,,,,['F.E.A.S.T.'],North America
577,Fagan Corners,"Vermont, United States of America",,Daredevil,,,,,North America
578,Fairmont San Francisco,"950 Mason Street,San Francisco, California",['Shang-Chi and the Legend of the Ten Rings'],,,,,,North America
579,Fallujah,Iraq,,"['Agents of S.H.I.E.L.D. (Many Heads, One Tale)']",,,,,Asia
580,Family Temporary House,Ohio,['Black Widow'],,,,,['Red Room'],North America
581,Fargo,"North Dakota, United States of America",,['Agents of S.H.I.E.L.D. (Ascension)'],,,,,North America
582,Farm,"New York City, New York",,"['Daredevil (Seven Minutes in Heaven)', 'Daredevil (The Man in the Box)', 'Daredevil (.380)']",,,,['Hand'],North America
583,Farmers & Merchants Bank,"Allentown, Pennsylvania",,,,,['Item 47'],,North America
584,Faro,Portugal,,['Agents of S.H.I.E.L.D. (Who You Really Are)'],,,,,Europe
585,Fat Man Auto Repair,"New York City, New York",,"['Hawkeye (Echoes)', 'Hawkeye (Partners, Am I Right?)', 'Hawkeye (Ronin)']",,,,,North America
586,Fault,Multiverse,['Thor: The Dark World'],,,,,,
587,Feira de Santana,Brazil,,['Iron Fist (Felling Tree with Roots)'],,,,,South America
588,Feldman Electronics,"River's End, New York",,['Agents of S.H.I.E.L.D. (The Totally Excellent Adventures of Mack and the D)'],,,,,North America
589,Fiji,Earth,"['Avengers: Age of Ultron', 'Eternals']",['Runaways (Cheat The Gallows)'],['Captain Marvel Prelude'],,,,Oceania
590,Finland,Earth,['Captain America: The First Avenger'],['Loki (The Variant)'],['Avengers: Infinity War Prelude'],,,,Europe
591,Finow,"Barnim District, State of Brandenburg, Germany",,Agent Carter,,,,,Europe
592,Fisk Residence,"324 Harriet Lane, New York City, New York 10019",,['Daredevil (Shadows in the Glass)'],,,,,North America
593,Five Mile Fork,United States of America,['The Incredible Hulk'],,['Thor: Ragnarok Prelude'],,,,North America
594,Flag Smashers Hideout,"Munich, Germany",,['The Falcon and The Winter Soldier (The Star-Spangled Man)'],,,,['Flag Smashers'],Europe
595,Flint (city),"Michigan, United States of America",,['Runaways (Earth Angel)'],,,,,North America
596,Florence,Italy,,['Agents of S.H.I.E.L.D. (Parting Shot)'],,,,,Europe
597,Florida,United States of America,"['The Incredible Hulk', 'Iron Man 3', 'Captain America: Civil War']","['Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (Jessica Jones)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (WandaVision)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Hawkeye)', 'Agents of S.H.I.E.L.D. (Ms. Marvel)']","['Captain America: Civil War Prelude', 'Thor: Ragnarok Prelude']",['Iron Man 3 - The Official Game (Java storyline only)'],['Item 47'],,North America
598,Flowering Incense Dimension,Multiverse,['Doctor Strange'],,,,,,
599,Flying Rocket Diner,Nevada,,['Agents of S.H.I.E.L.D. (Alien Commies from the Future!)'],,,,,North America
600,Fogwell's Gym,"New York City, New York",,Daredevil,,,,"['Nelson, Murdock and Page']",North America
601,Folsom,"California, United States of America",['Ant-Man'],,['Ant-Man and the Wasp Prelude'],,,,North America
602,Folsom State Prison,"Folsom, California",['Ant-Man'],,['Ant-Man and the Wasp Prelude'],,,,North America
603,Fordham University,"New York City, New York, United States of America",,"['Daredevil (The Man in the Box)', 'Daredevil (The Punisher)', 'Daredevil (Front Toward Enemy)']",,,,,North America
604,Forgotten Lakes,Kylos,"['Guardians of the Galaxy', 'Guardians of the Galaxy Vol. 2']",,,,,,
605,Fort Bryon,United States of America,,"['The Punisher (Crosshairs)', 'The Punisher (Cold Steel)']",,,,['United States Army'],North America
606,Fort Dodge,"Iowa, United States of America",,['Agents of S.H.I.E.L.D. (Toldja)'],,,,,North America
607,Fort Johnson,"Everglades, Florida, United States of America",['The Incredible Hulk'],,['Thor: Ragnarok Prelude'],,,['United States Army'],North America
608,Fort Lauderdale,"Florida, United States of America",['Captain America: Civil War'],,,,,,North America
609,Fort McCoy,"Sparta, Wisconsin",['Captain America: The Winter Soldier'],,,,,['United States Army'],North America
610,Fort Meade,"Maryland, United States of America",['Captain America: The Winter Soldier'],,,,,"['NSA', 'United States Army']",North America
611,Fort Sumter,"Charleston, South Carolina",['Spider-Man: Homecoming'],,,,,"['United States Marine Corps', 'United States Navy']",North America
612,France,Earth,"['Iron Man 2', 'Captain America: The First Avenger', 'Captain America: The Winter Soldier', 'Captain America: Civil War', 'Spider-Man: Far From Home']","['Agents of S.H.I.E.L.D. (Agent Carter)', 'Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (Jessica Jones)', 'Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (Runaways)', 'Agents of S.H.I.E.L.D. (Cloak & Dagger)', 'Agents of S.H.I.E.L.D. (Helstrom)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)', 'Agents of S.H.I.E.L.D. (Ms. Marvel)']","['The Avengers Prelude: Black Widow Strikes', 'Iron Man 2 Adaptation', 'Captain America: The First Avenger Adaptation', 'Agents of S.H.I.E.L.D.: The Chase', 'Avengers: Infinity War Prelude', 'Eternals: The 500 Year War']",['Captain America: Super Soldier'],,,"Europe; South America, Caribbean, and Africa (overseas regions/departments)"
613,Frank Castle's Apartment,"New York City, New York",,"['The Punisher (3 AM)', 'The Punisher (Two Dead Men)']",,,,,North America
614,Frankfurt,Germany,['Captain America: The Winter Soldier'],,,,,,Europe
615,Franklin D. Roosevelt High School,"Fremont, Ohio",,"['Loki (The Variant)', 'Loki (For All Time. Always.)']",,,,,North America
616,Franklin Deli Market,"New York City, New York",,"[""Jessica Jones (AKA It's Called Whiskey)""]",,,,,North America
617,Franny's Saloon,"Macon, Georgia",,"['Agents of S.H.I.E.L.D. (A Fractured House)', 'Agents of S.H.I.E.L.D. (One Door Closes)']",,,,,North America
618,Fred 62,"Los Angeles, California",,['Runaways (Merry Meet Again)'],,,,,North America
619,Frederick (city),"Maryland, North America",,['Iron Fist (Felling Tree with Roots)'],,,,,North America
620,Fremont (City),"Ohio, United States of America",,['Loki (For All Time. Always.)'],,,,,North America
621,French Polynesia,Earth,,Agents of S.H.I.E.L.D.,,,,,Oceania
622,Fresno,"California, United States of America",['Captain America: The First Avenger'],"['Iron Fist (Felling Tree with Roots)', 'Iron Fist (Runaways)', 'Iron Fist (Rewind)']",,,,,North America
623,Freyer National Park,"West Virginia, United States of America",,['Agents of S.H.I.E.L.D. (The Patriot)'],,,,,North America
624,Fridge,,,Agents of S.H.I.E.L.D.,,,,['S.H.I.E.L.D.'],
625,Frostgrinder,Niflheim,,,,['Thor: God of Thunder'],,,
626,Fun Arcade Games,Dark Dimension,,['Cloak & Dagger (Two Player)'],,,,,North America
627,Føynland,"Norway, Europe",,['What If...? (What If... Captain Carter Were The First Avenger?)'],,,,,Europe
628,Gabon,Earth,,['Moon Knight (Asylum)'],,,,,"Africa, Earth"
629,Gaithersburg,"United States of America, Maryland",,Agents of S.H.I.E.L.D.,,,,,North America
630,Galactic Frontier,,['Thor: Love and Thunder'],,,,,,
631,Galway,Ireland,,['Iron Fist (Felling Tree with Roots)'],,,,,Europe
632,Gap Junction,Multiverse,['Doctor Strange in the Multiverse of Madness'],,,,,,
633,Planet 0259-S,,"['Avengers: Infinity War', 'Avengers: Endgame']",,['Avengers: Endgame Prelude'],,,,
634,Garfield High School,"Los Angeles, California",,"['Agents of S.H.I.E.L.D. (Meet the New Boss)', 'Agents of S.H.I.E.L.D. (Let Me Stand Next to Your Fire)']",,,,,North America
635,Gary & Roy's Doughnuts,"Portland, Oregon",,['Helstrom (Containment)'],,,,,North America
636,Gary (city),"Indiana, United States of America",,['Iron Fist (Felling Tree with Roots)'],,,,,North America
637,Gasel Bank,"Zürich, Switzerland",,['The Falcon and The Winter Soldier (New World Order)'],,,,,Europe
638,Gates of Osiris,Duat,,"['Moon Knight (Asylum)', 'Moon Knight (Gods and Monsters)']",,,,,
639,Gateway University,"Portland, Oregon",,Helstrom,,,,,North America
640,General Electric Building,"570 Lexington Ave., New York City, New York",,Iron Fist,,,,,North America
641,Geneva,Switzerland,['Captain America: Civil War'],['Agents of S.H.I.E.L.D. (The Magical Place)'],['Captain America: First Vengeance'],,,,Europe
642,Genghis Connie's,"New York City, New York",,Luke Cage,,,,,North America
643,Genghis Connie's Too,"New York City, New York",,"['Luke Cage (The Basement)', 'Luke Cage (The Main Ingredient)', 'Luke Cage (Iron Fist)', 'Luke Cage (The Fury of Iron Fist)', 'Luke Cage (The Punisher)', 'Luke Cage (One-Eyed Jacks)', 'Luke Cage ([1])']",,,,,North America
644,Genoa,Italy,['Captain America: Civil War'],,['Iron Man: Will Online Evils Prevail?'],,,,Europe
645,Geoff Zorick's Mansion,"San Jose, California",['Ant-Man'],,"['Ant-Man - Scott Lang: Small Time', 'Ant-Man and the Wasp Prelude']",,,,North America
646,George Washington Bridge,"New York City, New York",['Doctor Strange'],,,,,,North America
647,George Washington High School,"Brooklyn, New York City, New York",['The Avengers'],,,,,,North America
648,Georgetown,Guyana,,['Agents of S.H.I.E.L.D. (The Man Behind the Shield)'],,,,,South America
649,Georgia,Earth,,['Agents of S.H.I.E.L.D. (The Hub)'],,,,,AsiaEurope
650,Georgia (state),United States of America,"['Avengers: Infinity War', 'post-credits scene']","['Agents of S.H.I.E.L.D. (Jessica Jones)', 'Agents of S.H.I.E.L.D. (Luke Cage)', 'Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (The Defenders)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Loki)']","['Captain America: First Vengeance', 'Captain Marvel Prelude']",,['Item 47'],,North America
651,Geosciences Research Center,"Los Angeles, California",,"['Runaways (Doomsday)', 'Runaways (Hostile)', 'Runaways (Rock Bottom)']",,,,['Goodman University'],North America
652,Germany,Earth,"['Captain America: The First Avenger', 'The Avengers', 'Captain America: The Winter Soldier', 'Ant-Man', 'Captain America: Civil War', 'Guardians of the Galaxy Vol. 2', 'Spider-Man: Homecoming', 'Ant-Man and the Wasp', 'Avengers: Endgame', 'Spider-Man: Far From Home', 'Black Widow']","['Agents of S.H.I.E.L.D. (Agent Carter)', 'Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (Iron Fist)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (WandaVision)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Loki)', 'Agents of S.H.I.E.L.D. (What If...?)']","['Iron Man Royal Purple Custom Comic', 'Iron Man 2: Fist of Iron', 'Captain America: First Vengeance', 'Thor: The Dark World Prelude', 'The Avengers Adaptation', 'Ant-Man Prelude', 'Spider-Man: Homecoming Prelude', 'Avengers: Infinity War Prelude', 'Captain Marvel Prelude', 'Black Widow Prelude']",['Captain America: Super Soldier'],,,Europe
653,Ghana,Earth,['Black Panther'],,['Captain America: Civil War Prelude Infinite Comic'],,,,Africa
654,Ghazni,Afghanistan,,,['Iron Man 3 Prelude'],,,,Asia
655,Ghirardelli Square,"900 North Point Street,San Francisco, California",['Shang-Chi and the Legend of the Ten Rings'],,,,,,North America
656,Ghost's Hideout,California,['Ant-Man and the Wasp'],,,,,,
657,Gibborim (planet),,,Runaways,,,,,
658,Gibraltar,United Kingdom,,,['Captain America & Thor: Avengers!'],,,,Europe
659,Gideon Malick's Penthouse,"Lisbon, Portugal",,['Agents of S.H.I.E.L.D. (Among Us Hide...)'],,,,,
660,Ginnungagap,,['Thor: The Dark World'],,,,,,
661,Girona,Girona,,['Iron Fist (Felling Tree with Roots)'],,,,,Girona
662,Giza,"Egypt, Africa",,['Loki (Moon Knight)'],,,,,Africa
663,Giza Pyramid Complex,"Giza, Egypt",,Moon Knight,,,,,Africa
664,Glasgow,United Kingdom,"['Spider-Man: Homecoming', '[1]', 'Avengers: Infinity War']",['Agents of S.H.I.E.L.D. (Hot Potato Soup)'],['Avengers: Endgame Prelude'],,,,Europe
665,Glendale,"Arizona, United States of America",,['Iron Fist (Felling Tree with Roots)'],,,,,North America
666,Glenfinnan Viaduct,"Scotland, United Kingdom",['Eternals'],,,,,,Europe
667,Glitter Gutter Club,New Orleans,,['Cloak & Dagger (Shadow Selves)'],,,,,North America
668,Gloucestershire,South West England,,"['Agents of S.H.I.E.L.D. (Purpose in the Machine)', 'Agents of S.H.I.E.L.D. (Closure)', 'Agents of S.H.I.E.L.D. (Maveth)']",,,,,Europe
669,Gobi Desert,Mongolia,,['Loki (Glorious Purpose)'],,,,,Asia
670,Godthab Omega,,,['Loki (The Variant)'],,,,,
671,Goldbrix Tavern,"Boston, Massachusetts",,"['Agents of S.H.I.E.L.D. (The Writing on the Wall)', 'Agents of S.H.I.E.L.D. (S.O.S. Part Two)']",,,,['HYDRA'],North America
672,Golden City,Wakanda,"['Avengers: Age of Ultron', 'Captain America: Civil War', 'Black Panther', 'Avengers: Infinity War', 'Avengers: Endgame', 'Black Panther: Wakanda Forever']","['WandaVision (The Falcon and The Winter Soldier)', 'WandaVision (What If...?)']","['Black Panther Prelude', 'Avengers: Infinity War Prelude', 'Avengers: Endgame Prelude']",,,,Africa
673,Golden Daggers Club,"Macau, China",['Shang-Chi and the Legend of the Ten Rings'],,,,,,Asia
674,Golden Forge,Asgard,,,['The Avengers: The Avengers Initiative'],,,,
675,Golden Gate Bridge,"San Francisco, CaliforniaVoid (alternate universe)","['Ant-Man', 'Avengers: Endgame', 'Shang-Chi and the Legend of the Ten Rings']",['Loki (What If...?)'],['Ant-Man and the Wasp Prelude'],,,,North America
676,Golden Sands,"39 East Broadway, Chinatown, New York City, New York[1]",,"['Iron Fist (Eight Diagram Dragon Palm)', 'Iron Fist (Felling Tree with Roots)', 'Iron Fist (The Mistress of All Agonies)']",,,,['Yangsi Gonshi'],North America
677,Golden Tigers' Hideout,"New York City, New York",,['Iron Fist (This Deadly Secret)'],,,,['Golden Tigers'],North America
678,Golden Tigers' Nightclub,"17th St. & Ditmas Ave, New York City, New York",,['Iron Fist (Heart of the Dragon)'],,,,['Golden Tigers'],North America
679,Goldie's Gym,"New York City, New York",,,['Captain America: First Vengeance'],,,,North America
680,Good Rest Motel,Michigan,,"['The Punisher (Roadhouse Blues)', 'The Punisher (Fight or Flight)']",,,,,North America
681,Goodman University,"Los Angeles, California",,"['Runaways (Doomsday)', 'Runaways (Hostile)', 'Runaways (Rock Bottom)']",,,,,North America
682,Gordon Hotel,"Los Angeles, California",,Runaways,,,,,North America
683,Gorilla City,"Jabari Land, Wakanda",['Black Panther'],,,,,,Africa
684,Gothic Renaissance,"New York City, New York",,"[""Jessica Jones (AKA You're Welcome)""]",,,,,North America
685,Government Storage Warehouse,"Arlington, Virginia",,"['Agents of S.H.I.E.L.D. (Shadows)', 'Agents of S.H.I.E.L.D. (Heavy is the Head)']",,,,['United States Government'],North America
686,Gower Car Wash,"Los Angeles, California",,['Runaways (Split Up)'],,,,,North America
687,Goyang,South Korea,,['The Falcon and The Winter Soldier (The Star-Spangled Man)'],,,,,Asia
688,Grace’s House,"New Asgard, Norway",['Thor: Love and Thunder'],,,,,,Europe
689,Graciela Aguirre's Residence,"6435 Hutchins Avenue, Montebello, California",,Runaways,,,,,North America
690,Grand Arena,"Sakaar City, Sakaar",['Thor: Ragnarok'],['What If...? (What If... Ultron Won?)'],,,,['Grandmaster'],
691,Grand Canyon,"Arizona, United States of America",['Spider-Man: No Way Home'],,,,,,North America
692,Grand Central Terminal,"New York City, New York","['The Avengers', 'Avengers: Age of Ultron', 'Spider-Man: Homecoming', 'Avengers: Endgame', 'Spider-Man: Far From Home']","['Agent Carter (What If...?)', 'Agent Carter (Hawkeye)']",['Spider-Man: Far From Home Prelude'],['The Incredible Hulk'],,,North America
693,Grandmaster Palace,"Sakaar City, Sakaar",['Thor: Ragnarok'],"['Loki (Glorious Purpose)', 'Loki (What If...?)']",,,,,
694,Graniteville Diner,"New York City, New York",,['The Punisher (Two Dead Men)'],,,,,North America
695,Grant Ward's HYDRA Warehouse,,,Agents of S.H.I.E.L.D.,,,,['HYDRA'],
696,Grass Jelly Dimension,Multiverse,['Doctor Strange'],,,,,,
697,Grayburn College,"New York City, New York",['The Incredible Hulk'],,"[""The Avengers Prelude: Fury's Big Week"", 'Thor: Ragnarok Prelude']",,,,North America
698,GRC New York Headquarters,"New York City, New York",,"['The Falcon and The Winter Soldier (Truth)', 'The Falcon and The Winter Soldier (One World, One People)']",,,,['Global Repatriation Council'],North America
699,Great Mound,"Mount Bashenga, Wakanda",['Black Panther'],,,,,,Africa
700,Great Orme,"Wales, United Kingdom",['Thor: The Dark World'],,,,,,Europe
701,Great Pyramid of Giza,"Giza Pyramid Complex, Giza, EgyptAlternate Universe:Void",,['Loki (Moon Knight)'],,,,,Africa
702,Great Sphinx of Giza,"Giza Pyramid Complex, Giza, EgyptAlternate Universe:Void",,['Loki (Moon Knight)'],,,,,Africa
703,Great Wall of China,China,,,['Eternals: The 500 Year War'],,,,Asia
704,Greece,Earth,"['Captain America: The First Avenger', 'Eternals']","['Agents of S.H.I.E.L.D. (Daredevil)', 'Agents of S.H.I.E.L.D. (The Falcon and The Winter Soldier)', 'Agents of S.H.I.E.L.D. (Ms. Marvel)']","['Iron Man: The Price of Doing Business', 'Avengers: Infinity War Prelude']",,,,Europe
705,Green Bay,"Wisconsin, United States of America",,"['Iron Fist (Morning of the Mindstorm)', 'Iron Fist (Citadel on the Edge of Vengeance)']",,,,,North America
706,Green-Wood Cemetery,"New York City, New York",,['Iron Fist (Rolling Thunder Cannon Punch)'],,,,,North America
707,Greenland,Earth,"['Captain America: The First Avenger', 'Black Widow']",['Agent Carter (SNAFU)'],"[""The Avengers Prelude: Fury's Big Week""]",['The Incredible Hulk'],,,North America (physiographically)Europe (politically)
708,Greensboro,"North Carolina, United States of America",,,,,['Item 47'],,North America
709,Greenwich University,"London, United Kingdom",,['Agents of S.H.I.E.L.D. (The Well)'],,,,,Europe
710,"Greg Pressfield, ESQ. Law Office","New Orleans, Louisiana",,['Cloak & Dagger (Call/Response)'],,,,"['Greg Pressfield, ESQ. Attorney at Law']",North America
711,Gregory Sallinger's Apartment,"New York City, New York",,Jessica Jones,,,,,North America
712,Griffith Observatory,"Los Angeles, California",['Ant-Man'],['Agent Carter (Runaways)'],,,,,North America
713,Grills' Apartment,"New York City, New York",,"['Hawkeye (Partners, Am I Right?)', 'Hawkeye (Ronin)', 'Hawkeye (So This Is Christmas?)']",,,,,North America
714,GrubMates,"Los Angeles, California",,"['Runaways (The Great Escape)', 'Runaways (Lord of Lies)']",,,,,North America
715,GT Agrochemical Facility,"Michigan, United States of America",,"['Agents of S.H.I.E.L.D. (Paradise Lost)', 'Agents of S.H.I.E.L.D. (The Singularity)']",,,,['GT Agrochemical'],North America
716,Guadalcanal,Solomon Islands,,"['Agent Carter (Now is Not the End)', 'Agent Carter (Bridge and Tunnel)']",,,,,Oceania
717,Guantanamo Bay,Cuba,,"['Agents of S.H.I.E.L.D. (Shadows)', 'Agents of S.H.I.E.L.D. (Jessica Jones)', 'Agents of S.H.I.E.L.D. (AKA Pork Chop)', 'Agents of S.H.I.E.L.D. (The Punisher)', 'Agents of S.H.I.E.L.D. (Two Dead Men)']",,,,,North America
718,Guatemala,Earth,['The Incredible Hulk'],"['Daredevil (World on Fire)', 'Daredevil (Runaways)', 'Daredevil (Refraction)']",['Thor: Ragnarok Prelude'],,,,North America
719,Guernica,Spain,,,['Captain America: First Vengeance'],,,,Europe
720,Guest House,,,Agents of S.H.I.E.L.D.,,,,"['Strategic Scientific Reserve', 'S.H.I.E.L.D.']",North America
721,Guizhou,China,,,['Doctor Strange Prelude'],,,,Asia
722,Gulmira,Afghanistan,"['Iron Man', 'Avengers: Age of Ultron']",Agents of S.H.I.E.L.D.,"['Iron Man: Security Measures', 'Iron Man: I Am Iron Man!', 'The Avengers: Iron Man Mark VII', 'Iron Man 3 Prelude']",,,,Asia
723,Guyana,Earth,,['Agents of S.H.I.E.L.D. (The Man Behind the Shield)'],,,,,South America
724,Gwen's,"Brooklyn, New York City, New York",,Luke Cage,,,,,North America
725,Hackensack,"New Jersey, United States of America",,"[""WandaVision (Don't Touch That Dial)""]",,,,,North America
726,Haiti,Earth,,"['Agents of S.H.I.E.L.D. (The Man Behind the Shield)', 'Agents of S.H.I.E.L.D. (Luke Cage)', 'Agents of S.H.I.E.L.D. (I Get Physical)', 'Agents of S.H.I.E.L.D. (Helstrom)', 'Agents of S.H.I.E.L.D. (The One Who Got Away)']",,,,,North America
727,Hala,,"['Guardians of the Galaxy', 'Guardians of the Galaxy Vol. 2', 'Captain Marvel']",['Agents of S.H.I.E.L.D. (Loki)'],,,,,
728,Halfway House Cafe,Delaware,,['Agents of S.H.I.E.L.D. (Heavy is the Head)'],,,,,North America
729,Halfworld,Keystone Quadrant,['Guardians of the Galaxy'],,"['Guardians of the Galaxy Prelude', 'Guardians of the Galaxy Vol. 2 Prelude']",,,,
730,Halifax,Nova Scotia,,['Agents of S.H.I.E.L.D. (The Man Behind the Shield)'],,,,,North America
731,Hall of Asgard,Asgard,"['Thor', 'Thor: The Dark World']",,"['Thor Adaptation', 'Thor: The Dark World Prelude']",['Thor: The Dark World - The Official Game'],,,
732,Hamburg,Germany,,['Agents of S.H.I.E.L.D. (Know Your Onions)'],,,,,Europe
733,Hamilton County Memorial Hall,"Chattanooga, Tennessee",['Iron Man 3'],,,,,,North America
